zcta5,total,nh_total,white,black,native,asian,hwpi,other,multi,hispanic,total_25yo,edu_gr9,edu_gr12_nd,edu_hs,edu_col_nd,edu_asc,edu_ba,edu_grad,edu_min_hs,edu_min_ba,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all,perc_sleep18,perc_sleep20,perc_sleep22,borough,neighborhood
10001,27004,21798,13544,2220,0,5031,0,223,780,5206,21203,741,1189,1802,1771,661,8911,6128,19273,15039,14375,5.1,6.2,4.8,5.7,6.6,11.5,7.8,13.7,8.2,30.3,106509,176483,27004,96.9,76.2,28.7,3.1,10.6,15.9,36.1,30.2,34.1,Manhattan,Chelsea/Midtown
10002,76518,56654,19554,6141,74,28477,24,574,1810,19864,60952,9858,8443,11085,5998,2347,16087,7134,42651,23221,36028,10.2,11.7,13.2,9.2,9.6,10.2,9.2,11.7,4.9,10.2,43362,86843,76077,94.6,48.3,52.4,5.4,23.4,26.1,42.3,35.7,38.3,Manhattan,Lower East Side
10003,53877,48336,34099,2899,51,9014,27,179,2067,5541,37093,1001,573,1984,2222,912,16265,14136,35519,30401,24987,7.2,3.1,3.0,3.0,4.3,9.7,7.2,11.6,12.2,38.7,152863,250384,53735,97.6,85.9,19.6,2.4,3.0,12.1,35,29.1,32.4,Manhattan,East Village/Gramercy
10004,4579,4350,2570,252,0,1370,0,0,158,229,3586,16,16,31,124,11,1588,1800,3554,3388,2123,1.6,0.0,0.1,1.5,0.1,3.5,7.2,16.2,11.9,57.9,232543,342833,4579,99.7,95.9,4.4,0.3,1.3,3.1,34.8,28.9,32.7,Manhattan,Financial District
10005,8801,8046,6071,421,0,985,0,0,569,755,6842,64,104,342,195,65,3870,2202,6674,6072,4881,1.0,1.8,0.1,1.4,4.6,3.3,8.6,17.0,13.6,48.5,189886,251095,8801,98.8,91.6,8.4,1.2,0.0,5.2,35.3,29,32.2,Manhattan,Financial District
10006,3736,3533,2347,225,0,684,0,128,149,203,2937,0,0,142,230,89,1168,1308,2937,2476,2046,3.1,0.0,2.2,3.0,7.3,5.8,4.6,10.3,11.2,52.5,204574,218507,3736,94.0,90.7,5.8,6.0,2.8,7.3,34.3,28.4,33,Manhattan,Financial District
10007,7506,6540,4658,628,0,1188,0,0,66,966,5558,51,176,286,258,44,2851,1892,5331,4743,3084,3.0,1.3,0.0,1.8,1.4,2.8,2.6,4.6,15.2,67.4,"250,000+",483196,7005,99.6,95.0,11.1,0.4,0.5,2.2,36.8,30.8,34.2,Manhattan,TriBeCa
10009,58418,44032,29258,4010,93,7831,5,343,2492,14386,46815,3274,2929,5085,4455,1917,17467,11688,40612,29155,29670,11.9,6.0,7.0,4.3,6.0,12.2,9.0,14.7,9.8,19.1,83344,130249,58400,97.2,66.8,39.3,2.8,19.2,22.6,37.7,31.8,34.7,Manhattan,East Village
10010,32410,29224,19908,2744,75,5067,0,190,1240,3186,23887,237,430,1432,2051,526,10152,9059,23220,19211,16050,4.5,3.3,3.6,3.3,4.2,7.2,7.9,15.9,9.0,41.0,150288,254222,32374,97.2,83.6,23.3,2.8,5.6,8.2,34.9,29,32.9,Manhattan,Gramercy
10011,50772,43710,34587,2192,0,4489,0,260,2182,7062,42006,812,999,2686,3242,1141,16470,16656,40195,33126,28874,5.2,3.1,4.7,3.7,6.6,7.2,6.5,13.4,13.1,36.5,145934,237851,50602,97.9,84.7,25.4,2.1,5.0,9.5,34.8,29.1,32.2,Manhattan,Chelsea
