"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"860Z200US06390","ZCTA5 06390","53","39","44","39","33","33","0","13","0","13","0","13","8","16","0","13","3","7","0","13","3","7","9","19","0","13","0","13","0","13","0","13","0","13","9","19","0","13","0","13","0","13",
"860Z200US10001","ZCTA5 10001","27004","1827","21798","1526","13544","1406","2220","576","0","25","5031","774","0","25","223","169","780","326","74","70","706","307","5206","943","1884","730","135","172","25","41","0","25","0","25","1056","518","2106","624","1464","480","642","481",
"860Z200US10002","ZCTA5 10002","76518","2894","56654","2617","19554","1427","6141","1194","74","83","28477","1989","24","45","574","394","1810","486","325","226","1485","431","19864","2190","4397","960","644","454","341","248","113","103","0","31","9153","1168","5216","1627","3458","1477","1758","696",
"860Z200US10003","ZCTA5 10003","53877","2579","48336","2481","34099","2437","2899","748","51","52","9014","1065","27","32","179","132","2067","547","283","188","1784","517","5541","943","2416","721","0","31","0","31","9","17","0","31","1157","482","1959","470","1808","442","151","102",
"860Z200US10004","ZCTA5 10004","4579","926","4350","884","2570","599","252","140","0","13","1370","703","0","13","0","13","158","113","4","8","154","112","229","145","83","49","14","15","0","13","49","79","0","13","18","21","65","96","65","96","0","13",
"860Z200US10005","ZCTA5 10005","8801","1132","8046","1041","6071","994","421","334","0","19","985","354","0","19","0","19","569","268","0","19","569","268","755","432","162","135","0","19","0","19","0","19","0","19","297","295","296","329","290","329","6","9",
"860Z200US10006","ZCTA5 10006","3736","497","3533","496","2347","441","225","218","0","13","684","360","0","13","128","141","149","137","10","16","139","135","203","149","203","149","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US10007","ZCTA5 10007","7506","1114","6540","957","4658","906","628","362","0","19","1188","626","0","19","0","19","66","84","20","33","46","79","966","624","813","606","18","29","0","19","13","30","0","19","110","135","12","20","12","20","0","19",
"860Z200US10009","ZCTA5 10009","58418","3009","44032","2602","29258","2323","4010","631","93","123","7831","1301","5","13","343","253","2492","879","356","319","2136","700","14386","1484","3480","812","467","316","37","40","275","281","0","31","6842","1011","3285","1150","2882","1116","403","225",
"860Z200US10010","ZCTA5 10010","32410","2681","29224","2447","19908","2141","2744","1121","75","69","5067","987","0","28","190","192","1240","441","281","218","959","374","3186","838","1774","747","9","14","0","28","0","28","6","21","685","256","712","307","712","307","0","28",
"860Z200US10011","ZCTA5 10011","50772","2368","43710","2307","34587","2033","2192","623","0","31","4489","924","0","31","260","243","2182","587","148","144","2034","585","7062","1119","2732","713","153","133","60","49","30","48","0","31","2106","787","1981","568","1777","538","204","162",
"860Z200US10012","ZCTA5 10012","21216","1420","19035","1279","14226","1264","538","385","0","25","3694","740","0","25","44","50","533","181","10","17","523","179","2181","510","745","307","60","71","59","98","0","25","0","25","599","279","718","300","492","245","226","140",
"860Z200US10013","ZCTA5 10013","29453","1909","27006","2002","15832","1803","821","272","52","49","8747","1300","0","25","187","121","1367","461","242","219","1125","398","2447","653","1187","564","143","127","0","25","0","25","0","25","574","251","543","222","523","219","20","23",
"860Z200US10014","ZCTA5 10014","29461","1737","26190","1701","22871","1491","650","350","26","57","1647","448","0","25","85","65","911","319","210","145","701","278","3271","892","1288","431","0","25","22","36","15","25","0","25","432","246","1514","675","1421","663","93","92",
"860Z200US10016","ZCTA5 10016","54369","3189","47583","2718","31619","2227","2492","522","11","18","10430","1283","0","31","129","141","2902","798","720","536","2182","613","6786","1528","3092","1054","111","118","16","29","91","93","15","10","702","268","2759","1192","2643","1196","116","109",
"860Z200US10017","ZCTA5 10017","14486","1498","14072","1488","9623","1292","461","316","12","19","3035","502","40","66","230","277","671","423","80","79","591","392","414","205","326","185","0","21","9","11","0","21","0","21","17","20","62","77","62","77","0","21",
"860Z200US10018","ZCTA5 10018","8659","971","7510","919","4095","744","541","241","18","56","2392","503","0","19","59","55","405","232","23","32","382","231","1149","343","330","157","3","6","11","17","166","155","0","19","331","165","308","174","238","168","70","67",
"860Z200US10019","ZCTA5 10019","42766","2392","35534","2177","23759","1914","1941","755","0","28","8056","1219","72","127","114","86","1592","437","376","228","1216","383","7232","1442","2995","835","689","557","488","508","0","28","0","28","1508","834","1552","655","1226","461","326","280",
"860Z200US10020","ZCTA5 10020","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US10021","ZCTA5 10021","40642","2959","38321","2997","32999","2937","169","97","16","27","3959","967","111","144","118","105","949","328","130","124","819","320","2321","666","1224","430","8","15","0","28","38","61","54","84","742","547","255","145","239","144","16","25",
"860Z200US10022","ZCTA5 10022","33586","2526","30115","2446","24844","2289","452","189","14","19","3946","831","0","28","63","61","796","292","125","94","671","331","3471","978","1904","756","34","22","8","13","0","28","0","28","766","595","759","351","623","355","136","113",
"860Z200US10023","ZCTA5 10023","65706","3434","59349","3092","44442","2848","3220","675","8","17","9178","1360","0","31","640","340","1861","571","415","342","1446","485","6357","1237","2308","821","375","199","95","101","5","8","0","31","1581","873","1993","584","1755","568","238","194",
"860Z200US10024","ZCTA5 10024","62774","3901","55247","3663","47078","3617","1599","380","37","46","4049","1007","0","31","267","170","2217","785","403","249","1814","786","7527","1939","2233","864","5","10","146","171","0","31","0","31","3651","1829","1492","593","1196","559","296","236",
"860Z200US10025","ZCTA5 10025","96988","4731","74118","4152","51711","3870","9022","1581","71","72","9540","1216","0","31","381","252","3393","916","433","309","2960","858","22870","2907","5020","1002","1490","721","13","17","31","54","0","31","9293","2022","7023","2014","5374","1704","1649","969",
"860Z200US10026","ZCTA5 10026","38265","2477","30670","2407","8366","1041","18201","2259","21","29","2393","799","0","28","184","113","1505","410","148","80","1357","405","7595","1270","701","303","1028","380","9","13","20","33","0","28","3887","1106","1950","527","1117","353","833","413",
"860Z200US10027","ZCTA5 10027","65806","3195","49315","2524","17453","1372","22327","2060","204","108","5858","708","1","3","728","347","2744","592","463","261","2281","556","16491","1879","2129","657","1314","481","206","150","23","28","41","66","10244","1950","2534","722","1874","592","660","401",
"860Z200US10028","ZCTA5 10028","45717","3098","42345","3186","36371","3320","693","446","0","28","3896","848","0","28","157","129","1228","407","384","254","844","350","3372","978","1565","745","42","45","0","28","0","28","0","28","736","497","1029","405","1015","403","14","22",
"860Z200US10029","ZCTA5 10029","75614","3164","41094","2693","11279","925","18941","1838","42","56","8153","1449","9","16","1188","911","1482","381","181","81","1301","397","34520","2318","7698","1223","3194","932","737","471","189","239","4","6","17034","2540","5664","1321","3802","806","1862","891",
