zcta5,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all
06390,19,0.0,0.0,0.0,0.0,78.9,21.1,0.0,0.0,0.0,0.0,47708,45300,53,49.1,34.0,15.1,50.9,0.0,0.0
10001,14375,5.1,6.2,4.8,5.7,6.6,11.5,7.8,13.7,8.2,30.3,106509,176483,27004,96.9,76.2,28.7,3.1,10.6,15.9
10002,36028,10.2,11.7,13.2,9.2,9.6,10.2,9.2,11.7,4.9,10.2,43362,86843,76077,94.6,48.3,52.4,5.4,23.4,26.1
10003,24987,7.2,3.1,3.0,3.0,4.3,9.7,7.2,11.6,12.2,38.7,152863,250384,53735,97.6,85.9,19.6,2.4,3.0,12.1
10004,2123,1.6,0.0,0.1,1.5,0.1,3.5,7.2,16.2,11.9,57.9,232543,342833,4579,99.7,95.9,4.4,0.3,1.3,3.1
10005,4881,1.0,1.8,0.1,1.4,4.6,3.3,8.6,17.0,13.6,48.5,189886,251095,8801,98.8,91.6,8.4,1.2,0.0,5.2
10006,2046,3.1,0.0,2.2,3.0,7.3,5.8,4.6,10.3,11.2,52.5,204574,218507,3736,94.0,90.7,5.8,6.0,2.8,7.3
10007,3084,3.0,1.3,0.0,1.8,1.4,2.8,2.6,4.6,15.2,67.4,"250,000+",483196,7005,99.6,95.0,11.1,0.4,0.5,2.2
10009,29670,11.9,6.0,7.0,4.3,6.0,12.2,9.0,14.7,9.8,19.1,83344,130249,58400,97.2,66.8,39.3,2.8,19.2,22.6
10010,16050,4.5,3.3,3.6,3.3,4.2,7.2,7.9,15.9,9.0,41.0,150288,254222,32374,97.2,83.6,23.3,2.8,5.6,8.2
10011,28874,5.2,3.1,4.7,3.7,6.6,7.2,6.5,13.4,13.1,36.5,145934,237851,50602,97.9,84.7,25.4,2.1,5.0,9.5
10012,11529,8.7,1.2,4.2,3.7,3.7,11.5,6.8,18.8,9.7,31.7,126890,205960,21183,96.0,81.3,22.1,4.0,6.1,12.2
10013,12753,4.0,5.2,5.2,2.3,3.3,10.4,6.5,13.0,10.1,40.1,150675,370046,28964,95.9,77.3,25.1,4.1,6.4,10.1
10014,17504,4.4,1.8,4.1,3.0,5.3,7.5,10.9,13.3,10.0,39.9,147267,249880,29430,97.3,86.4,19.7,2.7,0.9,6.2
10016,30162,5.3,2.9,3.4,4.2,2.7,7.3,8.6,16.7,10.2,38.8,145864,215291,54173,95.9,86.5,18.9,4.1,3.6,9.4
10017,9155,3.9,2.4,2.1,8.7,5.8,8.9,7.1,16.6,13.7,30.9,139964,188289,14486,95.4,82.0,25.1,4.6,1.8,7.2
10018,4704,7.1,3.1,2.1,3.4,3.6,9.1,10.0,11.7,10.7,39.2,149118,226793,8659,94.8,80.3,20.2,5.2,4.4,13.0
10019,26297,7.4,4.3,7.6,4.6,9.2,6.4,6.9,11.5,9.9,32.2,113335,190544,42715,97.0,78.9,30.3,3.0,5.6,11.7
10020,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
10021,20568,3.5,1.0,3.5,2.6,5.1,10.9,9.8,14.2,9.9,39.7,149432,261254,40345,98.8,84.4,26.6,1.2,1.2,4.2
10022,18153,3.6,0.9,5.2,2.9,4.5,6.7,7.6,13.5,12.6,42.4,161236,281977,33579,99.0,83.5,31.8,1.0,4.9,5.7
10023,35742,4.4,2.7,3.5,3.5,4.8,9.5,8.7,12.7,10.9,39.4,151468,256121,65693,96.8,84.0,26.4,3.2,2.4,7.1
10024,29472,4.7,3.1,2.6,3.0,4.5,7.3,6.7,15.2,11.5,41.4,166994,287414,62180,97.9,82.7,28.4,2.1,5.5,8.3
