zcta5,total_25yo,edu_gr9,edu_gr12_nd,edu_hs,edu_col_nd,edu_asc,edu_ba,edu_grad,edu_min_hs,edu_min_ba
06390,41,0,0,28,9,0,4,0,41,4
10001,21203,741,1189,1802,1771,661,8911,6128,19273,15039
10002,60952,9858,8443,11085,5998,2347,16087,7134,42651,23221
10003,37093,1001,573,1984,2222,912,16265,14136,35519,30401
10004,3586,16,16,31,124,11,1588,1800,3554,3388
10005,6842,64,104,342,195,65,3870,2202,6674,6072
10006,2937,0,0,142,230,89,1168,1308,2937,2476
10007,5558,51,176,286,258,44,2851,1892,5331,4743
10009,46815,3274,2929,5085,4455,1917,17467,11688,40612,29155
10010,23887,237,430,1432,2051,526,10152,9059,23220,19211
10011,42006,812,999,2686,3242,1141,16470,16656,40195,33126
10012,16809,401,275,848,1058,291,8292,5644,16133,13936
10013,22108,1308,1467,1983,1365,392,9554,6039,19333,15593
10014,25527,105,183,1281,2028,287,12251,9392,25239,21643
10016,43500,514,952,2309,3142,960,18102,17521,42034,35623
10017,12829,273,211,473,806,50,5396,5620,12345,11016
10018,7451,259,359,525,375,234,3053,2646,6833,5699
10019,37804,614,735,3204,2450,1771,15840,13190,36455,29030
10020,0,0,0,0,0,0,0,0,0,0
10021,32595,220,552,2172,2772,1027,12403,13449,31823,25852
10022,28679,359,225,1893,1629,635,10369,13569,28095,23938
10023,52617,403,831,3213,3402,994,19693,24081,51383,43774
10024,49806,1242,726,2566,3114,919,18061,23178,47838,41239
10025,72928,3385,3354,7340,7815,1940,20984,28110,66189,49094
10026,27690,1381,1772,5908,3721,1129,7474,6305,24537,13779
10027,42580,2294,3131,8304,5335,1859,10778,10879,37155,21657
10028,37597,458,109,2319,2962,986,12981,17782,37030,30763
10029,55086,7818,5125,13643,7665,2558,10469,7808,42143,18277
10030,23150,2434,2589,4942,3756,1294,4321,3814,18127,8135
10031,47467,5827,4502,8403,7999,1665,11351,7720,37138,19071
10032,46094,7844,4071,8114,6677,2358,10432,6598,34179,17030
10033,43653,6015,4116,7773,5910,2844,9377,7618,33522,16995
10034,30717,3757,2795,5573,4774,1449,6831,5538,24165,12369
10035,27304,3172,3619,7415,3595,1419,4769,3315,20513,8084
10036,26043,865,1083,2551,2851,1207,10341,7145,24095,17486
10037,14386,876,990,3350,1962,908,3638,2662,12520,6300
10038,16829,1666,1309,1734,1203,687,6525,3705,13854,10230
10039,20839,2099,1687,5329,4168,1437,3649,2470,17053,6119
10040,32333,4218,3277,6893,4433,1483,6687,5342,24838,12029
10044,9072,364,352,1182,513,393,2176,4092,8356,6268
10065,24164,304,101,1199,1480,376,9797,10907,23759,20704
10069,4683,0,0,475,32,111,1752,2313,4683,4065
10075,18721,86,242,1626,992,569,6250,8956,18393,15206
10103,0,0,0,0,0,0,0,0,0,0
10110,0,0,0,0,0,0,0,0,0,0
10111,0,0,0,0,0,0,0,0,0,0
10112,0,0,0,0,0,0,0,0,0,0
10115,0,0,0,0,0,0,0,0,0,0
10119,0,0,0,0,0,0,0,0,0,0
10128,45485,938,1047,3831,2486,2235,15493,19455,43500,34948
10152,0,0,0,0,0,0,0,0,0,0
10153,0,0,0,0,0,0,0,0,0,0
10154,0,0,0,0,0,0,0,0,0,0
10162,1286,0,77,339,0,19,454,397,1209,851
10165,0,0,0,0,0,0,0,0,0,0
10167,0,0,0,0,0,0,0,0,0,0
10168,0,0,0,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0,0,0
10170,0,0,0,0,0,0,0,0,0,0
10171,0,0,0,0,0,0,0,0,0,0
10172,0,0,0,0,0,0,0,0,0,0
10173,0,0,0,0,0,0,0,0,0,0
10174,0,0,0,0,0,0,0,0,0,0
10177,0,0,0,0,0,0,0,0,0,0
10199,0,0,0,0,0,0,0,0,0,0
10271,0,0,0,0,0,0,0,0,0,0
10278,0,0,0,0,0,0,0,0,0,0
10279,161,0,0,0,51,18,47,45,161,92
10280,7261,95,17,369,460,56,2996,3268,7149,6264
10282,4480,23,13,256,180,419,1403,2186,4444,3589
10301,28291,1659,2216,6728,4824,1619,5895,5350,24416,11245
10302,12259,826,833,4457,1639,901,2282,1321,10600,3603
10303,17857,1662,1790,5496,2641,1363,3261,1644,14405,4905
10304,30873,1882,3160,9090,5397,1807,6180,3357,25831,9537
10305,31477,2618,2145,8924,4576,2975,6239,4000,26714,10239
10306,39837,2321,2250,13290,6696,2436,7520,5324,35266,12844
10307,10101,284,497,2351,1899,1148,2008,1914,9320,3922
10308,22074,500,568,6851,3249,1969,5102,3835,21006,8937
10309,24109,545,1364,7003,4358,1872,5119,3848,22200,8967
10310,17364,944,1250,5075,3121,1341,3110,2523,15170,5633
10311,0,0,0,0,0,0,0,0,0,0
10312,43865,1199,1964,13440,6814,3273,10340,6835,40702,17175
10314,66532,3529,3025,19704,10796,4710,15792,8976,59978,24768
10451,33532,4093,5197,8939,5990,2693,4591,2029,24242,6620
10452,49113,7927,7074,14284,8111,4664,4937,2116,34112,7053
10453,50570,8674,7700,14578,8471,3609,5756,1782,34196,7538
10454,25781,5189,4954,7296,3966,1385,2323,668,15638,2991
10455,27345,4211,4555,7754,4634,2279,2844,1068,18579,3912
10456,55052,9112,9252,16305,8825,4557,5140,1861,36688,7001
10457,47967,7312,7339,14163,8465,3436,4929,2323,33316,7252
10458,49281,9078,6642,13618,9552,3288,4788,2315,33561,7103
10459,32618,5644,4680,9233,5434,3035,3330,1262,22294,4592
10460,38400,5738,5614,11950,6541,3082,4286,1189,27048,5475
10461,36027,3472,3360,10083,5607,3758,6066,3681,29195,9747
10462,51876,4231,4447,15465,8278,5039,9543,4873,43198,14416
10463,50071,3887,4534,9617,7409,3338,10781,10505,41650,21286
10464,3468,29,135,711,284,423,878,1008,3304,1886
10465,31189,2272,2171,8392,6802,2419,5634,3499,26746,9133
10466,48817,3544,5969,15327,8018,4120,7433,4406,39304,11839
10467,66270,8117,8741,19041,10968,5120,8709,5574,49412,14283
