new_name,old_name,label
zcta5,NAME,Geographic Area Name
total_25yo,DP02_0059E,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over
edu_gr9,DP02_0060E,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade
edu_gr12_nd,DP02_0061E,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
edu_hs,DP02_0062E,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)
edu_col_nd,DP02_0063E,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree"
edu_asc,DP02_0064E,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree
edu_ba,DP02_0065E,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree
edu_grad,DP02_0066E,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree
edu_min_hs,DP02_0067E,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher
edu_min_ba,DP02_0068E,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
