zcta5,total,nh_total,white,black,native,asian,hwpi,other,multi,hispanic
06390,53,44,33,0,0,0,8,0,3,9
10001,27004,21798,13544,2220,0,5031,0,223,780,5206
10002,76518,56654,19554,6141,74,28477,24,574,1810,19864
10003,53877,48336,34099,2899,51,9014,27,179,2067,5541
10004,4579,4350,2570,252,0,1370,0,0,158,229
10005,8801,8046,6071,421,0,985,0,0,569,755
10006,3736,3533,2347,225,0,684,0,128,149,203
10007,7506,6540,4658,628,0,1188,0,0,66,966
10009,58418,44032,29258,4010,93,7831,5,343,2492,14386
10010,32410,29224,19908,2744,75,5067,0,190,1240,3186
10011,50772,43710,34587,2192,0,4489,0,260,2182,7062
10012,21216,19035,14226,538,0,3694,0,44,533,2181
10013,29453,27006,15832,821,52,8747,0,187,1367,2447
10014,29461,26190,22871,650,26,1647,0,85,911,3271
10016,54369,47583,31619,2492,11,10430,0,129,2902,6786
10017,14486,14072,9623,461,12,3035,40,230,671,414
10018,8659,7510,4095,541,18,2392,0,59,405,1149
10019,42766,35534,23759,1941,0,8056,72,114,1592,7232
10020,0,0,0,0,0,0,0,0,0,0
10021,40642,38321,32999,169,16,3959,111,118,949,2321
10022,33586,30115,24844,452,14,3946,0,63,796,3471
10023,65706,59349,44442,3220,8,9178,0,640,1861,6357
10024,62774,55247,47078,1599,37,4049,0,267,2217,7527
10025,96988,74118,51711,9022,71,9540,0,381,3393,22870
10026,38265,30670,8366,18201,21,2393,0,184,1505,7595
10027,65806,49315,17453,22327,204,5858,1,728,2744,16491
10028,45717,42345,36371,693,0,3896,0,157,1228,3372
10029,75614,41094,11279,18941,42,8153,9,1188,1482,34520
10030,31268,21995,2780,16818,7,1134,3,307,946,9273
10031,61044,29944,10534,14431,0,2458,0,442,2079,31100
10032,60480,20770,8843,7712,32,2706,4,237,1236,39710
10033,58711,19263,13708,2088,104,1940,0,291,1132,39448
10034,41570,12891,7926,2376,39,1387,0,178,985,28679
10035,38595,21991,5033,14179,27,1295,9,119,1329,16604
10036,30930,24567,15593,2053,40,4943,33,143,1762,6363
10037,19138,15355,1845,12067,25,727,0,144,547,3783
10038,23343,20751,10086,2268,45,6695,39,579,1039,2592
10039,29887,20105,1997,16337,40,567,0,331,833,9782
10040,43653,12314,8924,1251,29,789,5,528,788,31339
10044,11846,10579,5052,1511,0,3413,0,141,462,1267
10065,30859,28229,22341,761,0,4226,0,82,819,2630
10069,6259,5708,2713,104,0,2075,0,739,77,551
10075,23920,22079,18798,538,85,1743,74,0,841,1841
10103,0,0,0,0,0,0,0,0,0,0
10110,0,0,0,0,0,0,0,0,0,0
10111,0,0,0,0,0,0,0,0,0,0
